"STATISTIC Label","Year","Type of Land Use","Region","UNIT","VALUE"
"Area Farmed in June","2017","Total wheat","South-West","000 Hectares","6.1"
"Area Farmed in June","2017","Total wheat","Eastern and Midland","000 Hectares","43.1"
"Area Farmed in June","2017","Total wheat","Dublin and Mid-East","000 Hectares","38"
"Area Farmed in June","2017","Total wheat","Midland","000 Hectares","5.1"
"Area Farmed in June","2017","Winter wheat","State","000 Hectares","60.3"
"Area Farmed in June","2017","Winter wheat","Northern and Western","000 Hectares","0.7"
"Area Farmed in June","2017","Winter wheat","Border","000 Hectares","0.5"
"Area Farmed in June","2017","Winter wheat","West","000 Hectares","0.2"
"Area Farmed in June","2017","Winter wheat","Southern","000 Hectares","18.9"
"Area Farmed in June","2017","Winter wheat","Mid-West","000 Hectares","4"
"Area Farmed in June","2017","Winter wheat","South-East","000 Hectares","10.6"
"Area Farmed in June","2017","Winter wheat","South-West","000 Hectares","4.3"
"Area Farmed in June","2017","Winter wheat","Eastern and Midland","000 Hectares","40.6"
"Area Farmed in June","2017","Winter wheat","Dublin and Mid-East","000 Hectares","35.9"
"Area Farmed in June","2017","Winter wheat","Midland","000 Hectares","4.7"
"Area Farmed in June","2017","Spring wheat","State","000 Hectares","6.8"
"Area Farmed in June","2017","Spring wheat","Northern and Western","000 Hectares","0.3"
"Area Farmed in June","2017","Spring wheat","Border","000 Hectares","0.2"
"Area Farmed in June","2017","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June","2017","Spring wheat","Southern","000 Hectares","4"
"Area Farmed in June","2017","Spring wheat","Mid-West","000 Hectares","0.6"
"Area Farmed in June","2017","Spring wheat","South-East","000 Hectares","1.6"
"Area Farmed in June","2017","Spring wheat","South-West","000 Hectares","1.8"
"Area Farmed in June","2017","Spring wheat","Eastern and Midland","000 Hectares","2.4"
"Area Farmed in June","2017","Spring wheat","Dublin and Mid-East","000 Hectares","2"
"Area Farmed in June","2017","Spring wheat","Midland","000 Hectares","0.4"
"Area Farmed in June","2018","Total cereals","State","000 Hectares","261.6"
"Area Farmed in June","2018","Total cereals","Northern and Western","000 Hectares","8.3"
"Area Farmed in June","2018","Total cereals","Border","000 Hectares","4.6"
"Area Farmed in June","2018","Total cereals","West","000 Hectares","3.6"
"Area Farmed in June","2018","Total cereals","Southern","000 Hectares","132.5"
"Area Farmed in June","2018","Total cereals","Mid-West","000 Hectares","20.9"
"Area Farmed in June","2018","Total cereals","South-East","000 Hectares","75.7"
"Area Farmed in June","2018","Total cereals","South-West","000 Hectares","36"
"Area Farmed in June","2018","Total cereals","Eastern and Midland","000 Hectares","120.8"
"Area Farmed in June","2018","Total cereals","Dublin and Mid-East","000 Hectares","92.8"
"Area Farmed in June","2018","Total cereals","Midland","000 Hectares","28.1"
"Area Farmed in June","2018","Total wheat","State","000 Hectares","58"
"Area Farmed in June","2018","Total wheat","Northern and Western","000 Hectares","0.7"
"Area Farmed in June","2018","Total wheat","Border","000 Hectares","0.6"
"Area Farmed in June","2018","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June","2018","Total wheat","Southern","000 Hectares","18.7"
"Area Farmed in June","2018","Total wheat","Mid-West","000 Hectares","3.9"
"Area Farmed in June","2018","Total wheat","South-East","000 Hectares","10.1"
"Area Farmed in June","2018","Total wheat","South-West","000 Hectares","4.7"
"Area Farmed in June","2018","Total wheat","Eastern and Midland","000 Hectares","38.5"
"Area Farmed in June","2018","Total wheat","Dublin and Mid-East","000 Hectares","34.5"
"Area Farmed in June","2018","Total wheat","Midland","000 Hectares","4"
"Area Farmed in June","2018","Winter wheat","State","000 Hectares","54.4"
"Area Farmed in June","2018","Winter wheat","Northern and Western","000 Hectares","0.5"
"Area Farmed in June","2018","Winter wheat","Border","000 Hectares","0.4"
"Area Farmed in June","2018","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June","2018","Winter wheat","Southern","000 Hectares","16.9"
"Area Farmed in June","2018","Winter wheat","Mid-West","000 Hectares","3.5"
"Area Farmed in June","2018","Winter wheat","South-East","000 Hectares","9.5"
"Area Farmed in June","2018","Winter wheat","South-West","000 Hectares","3.9"
"Area Farmed in June","2018","Winter wheat","Eastern and Midland","000 Hectares","37.1"
"Area Farmed in June","2018","Winter wheat","Dublin and Mid-East","000 Hectares","33.3"
"Area Farmed in June","2018","Winter wheat","Midland","000 Hectares","3.8"
"Area Farmed in June","2018","Spring wheat","State","000 Hectares","3.6"
"Area Farmed in June","2018","Spring wheat","Northern and Western","000 Hectares","0.2"
"Area Farmed in June","2018","Spring wheat","Border","000 Hectares","0.2"
"Area Farmed in June","2018","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June","2018","Spring wheat","Southern","000 Hectares","1.9"
"Area Farmed in June","2018","Spring wheat","Mid-West","000 Hectares","0.4"
"Area Farmed in June","2018","Spring wheat","South-East","000 Hectares","0.7"
"Area Farmed in June","2018","Spring wheat","South-West","000 Hectares","0.8"
"Area Farmed in June","2018","Spring wheat","Eastern and Midland","000 Hectares","1.4"
"Area Farmed in June","2018","Spring wheat","Dublin and Mid-East","000 Hectares","1.2"
"Area Farmed in June","2018","Spring wheat","Midland","000 Hectares","0.3"
"Area Farmed in June","2019","Total cereals","State","000 Hectares","267.7"
"Area Farmed in June","2019","Total cereals","Northern and Western","000 Hectares","8.7"
"Area Farmed in June","2019","Total cereals","Border","000 Hectares","4.9"
"Area Farmed in June","2019","Total cereals","West","000 Hectares","3.8"
"Area Farmed in June","2019","Total cereals","Southern","000 Hectares","134.9"
"Area Farmed in June","2019","Total cereals","Mid-West","000 Hectares","21.1"
"Area Farmed in June","2019","Total cereals","South-East","000 Hectares","77.2"
"Area Farmed in June","2019","Total cereals","South-West","000 Hectares","36.7"
"Area Farmed in June","2019","Total cereals","Eastern and Midland","000 Hectares","124.1"
"Area Farmed in June","2019","Total cereals","Dublin and Mid-East","000 Hectares","95.2"
"Area Farmed in June","2019","Total cereals","Midland","000 Hectares","28.9"
"Area Farmed in June","2019","Total wheat","State","000 Hectares","63.5"
"Area Farmed in June","2019","Total wheat","Northern and Western","000 Hectares","1"
"Area Farmed in June","2019","Total wheat","Border","000 Hectares","0.7"
"Area Farmed in June","2019","Total wheat","West","000 Hectares","0.3"
"Area Farmed in June","2019","Total wheat","Southern","000 Hectares","19.9"
"Area Farmed in June","2019","Total wheat","Mid-West","000 Hectares","3.9"
"Area Farmed in June","2019","Total wheat","South-East","000 Hectares","10.8"
"Area Farmed in June","2019","Total wheat","South-West","000 Hectares","5.2"
"Area Farmed in June","2019","Total wheat","Eastern and Midland","000 Hectares","42.6"
"Area Farmed in June","2019","Total wheat","Dublin and Mid-East","000 Hectares","38.1"
"Area Farmed in June","2019","Total wheat","Midland","000 Hectares","4.5"
"Area Farmed in June","2019","Winter wheat","State","000 Hectares","59.7"
"Area Farmed in June","2019","Winter wheat","Northern and Western","000 Hectares","0.8"
"Area Farmed in June","2019","Winter wheat","Border","000 Hectares","0.6"
"Area Farmed in June","2019","Winter wheat","West","000 Hectares","0.2"
"Area Farmed in June","2019","Winter wheat","Southern","000 Hectares","18.1"
"Area Farmed in June","2019","Winter wheat","Mid-West","000 Hectares","3.7"
"Area Farmed in June","2019","Winter wheat","South-East","000 Hectares","9.9"
"Area Farmed in June","2019","Winter wheat","South-West","000 Hectares","4.5"
"Area Farmed in June","2019","Winter wheat","Eastern and Midland","000 Hectares","40.8"
"Area Farmed in June","2019","Winter wheat","Dublin and Mid-East","000 Hectares","36.6"
"Area Farmed in June","2019","Winter wheat","Midland","000 Hectares","4.2"
"Area Farmed in June","2019","Spring wheat","State","000 Hectares","3.8"
"Area Farmed in June","2019","Spring wheat","Northern and Western","000 Hectares","0.2"
"Area Farmed in June","2019","Spring wheat","Border","000 Hectares","0.1"
"Area Farmed in June","2019","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June","2019","Spring wheat","Southern","000 Hectares","1.8"
"Area Farmed in June","2019","Spring wheat","Mid-West","000 Hectares","0.2"
"Area Farmed in June","2019","Spring wheat","South-East","000 Hectares","0.9"
"Area Farmed in June","2019","Spring wheat","South-West","000 Hectares","0.7"
"Area Farmed in June","2019","Spring wheat","Eastern and Midland","000 Hectares","1.8"
"Area Farmed in June","2019","Spring wheat","Dublin and Mid-East","000 Hectares","1.5"
"Area Farmed in June","2019","Spring wheat","Midland","000 Hectares","0.3"
"Area Farmed in June","2020","Total cereals","State","000 Hectares","266.6"
"Area Farmed in June","2020","Total cereals","Northern and Western","000 Hectares","8.5"
"Area Farmed in June","2020","Total cereals","Border","000 Hectares","4.9"
"Area Farmed in June","2020","Total cereals","West","000 Hectares","3.7"
"Area Farmed in June","2020","Total cereals","Southern","000 Hectares","136.2"
"Area Farmed in June","2020","Total cereals","Mid-West","000 Hectares","20.9"
"Area Farmed in June","2020","Total cereals","South-East","000 Hectares","77.7"
"Area Farmed in June","2020","Total cereals","South-West","000 Hectares","37.6"
"Area Farmed in June","2020","Total cereals","Eastern and Midland","000 Hectares","121.8"
"Area Farmed in June","2020","Total cereals","Dublin and Mid-East","000 Hectares","93.1"
"Area Farmed in June","2020","Total cereals","Midland","000 Hectares","28.7"
"Area Farmed in June","2020","Total wheat","State","000 Hectares","47"
"Area Farmed in June","2020","Total wheat","Northern and Western","000 Hectares","0.8"
"Area Farmed in June","2020","Total wheat","Border","000 Hectares","0.6"
"Area Farmed in June","2020","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June","2020","Total wheat","Southern","000 Hectares","15.7"
"Area Farmed in June","2020","Total wheat","Mid-West","000 Hectares","2.8"
"Area Farmed in June","2020","Total wheat","South-East","000 Hectares","8.5"
"Area Farmed in June","2020","Total wheat","South-West","000 Hectares","4.4"
"Area Farmed in June","2020","Total wheat","Eastern and Midland","000 Hectares","30.5"
"Area Farmed in June","2020","Total wheat","Dublin and Mid-East","000 Hectares","27.4"
"Area Farmed in June","2020","Total wheat","Midland","000 Hectares","3.1"
"Area Farmed in June","2020","Winter wheat","State","000 Hectares","35.4"
"Area Farmed in June","2020","Winter wheat","Northern and Western","000 Hectares","0.6"
"Area Farmed in June","2020","Winter wheat","Border","000 Hectares","0.5"
"Area Farmed in June","2020","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June","2020","Winter wheat","Southern","000 Hectares","11.1"
"Area Farmed in June","2020","Winter wheat","Mid-West","000 Hectares","2.3"
"Area Farmed in June","2020","Winter wheat","South-East","000 Hectares","5.6"
"Area Farmed in June","2020","Winter wheat","South-West","000 Hectares","3.2"
"Area Farmed in June","2020","Winter wheat","Eastern and Midland","000 Hectares","23.8"
"Area Farmed in June","2020","Winter wheat","Dublin and Mid-East","000 Hectares","21.1"
"Area Farmed in June","2020","Winter wheat","Midland","000 Hectares","2.7"
"Area Farmed in June","2020","Spring wheat","State","000 Hectares","11.5"
"Area Farmed in June","2020","Spring wheat","Northern and Western","000 Hectares","0.2"
"Area Farmed in June","2020","Spring wheat","Border","000 Hectares","0.2"
"Area Farmed in June","2020","Spring wheat","West","000 Hectares","0"
"Area Farmed in June","2020","Spring wheat","Southern","000 Hectares","4.7"
"Area Farmed in June","2020","Spring wheat","Mid-West","000 Hectares","0.5"
"Area Farmed in June","2020","Spring wheat","South-East","000 Hectares","3"
"Area Farmed in June","2020","Spring wheat","South-West","000 Hectares","1.2"
"Area Farmed in June","2020","Spring wheat","Eastern and Midland","000 Hectares","6.7"
"Area Farmed in June","2020","Spring wheat","Dublin and Mid-East","000 Hectares","6.3"
"Area Farmed in June","2020","Spring wheat","Midland","000 Hectares","0.4"
"Area Farmed in June","2021","Total cereals","State","000 Hectares","276.4"
"Area Farmed in June","2021","Total cereals","Northern and Western","000 Hectares","9"
"Area Farmed in June","2021","Total cereals","Border","000 Hectares","5"
"Area Farmed in June","2021","Total cereals","West","000 Hectares","4"
"Area Farmed in June","2021","Total cereals","Southern","000 Hectares","142.2"
"Area Farmed in June","2021","Total cereals","Mid-West","000 Hectares","21.7"
"Area Farmed in June","2021","Total cereals","South-East","000 Hectares","81.2"
"Area Farmed in June","2021","Total cereals","South-West","000 Hectares","39.3"
"Area Farmed in June","2021","Total cereals","Eastern and Midland","000 Hectares","125.2"
"Area Farmed in June","2021","Total cereals","Dublin and Mid-East","000 Hectares","95.4"
"Area Farmed in June","2021","Total cereals","Midland","000 Hectares","29.8"
"Area Farmed in June","2021","Total wheat","State","000 Hectares","62.3"
"Area Farmed in June","2021","Total wheat","Northern and Western","000 Hectares","0.8"
"Area Farmed in June","2021","Total wheat","Border","000 Hectares","0.6"
"Area Farmed in June","2021","Total wheat","West","000 Hectares","0.2"
"Area Farmed in June","2021","Total wheat","Southern","000 Hectares","21.4"
"Area Farmed in June","2021","Total wheat","Mid-West","000 Hectares","3.2"
"Area Farmed in June","2021","Total wheat","South-East","000 Hectares","12.9"
"Area Farmed in June","2021","Total wheat","South-West","000 Hectares","5.2"
"Area Farmed in June","2021","Total wheat","Eastern and Midland","000 Hectares","40.1"
"Area Farmed in June","2021","Total wheat","Dublin and Mid-East","000 Hectares","35.4"
"Area Farmed in June","2021","Total wheat","Midland","000 Hectares","4.7"
"Area Farmed in June","2021","Winter wheat","State","000 Hectares","56.2"
"Area Farmed in June","2021","Winter wheat","Northern and Western","000 Hectares","0.6"
"Area Farmed in June","2021","Winter wheat","Border","000 Hectares","0.4"
"Area Farmed in June","2021","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June","2021","Winter wheat","Southern","000 Hectares","18.4"
