"Statistic Label","Year","Type of Crop","UNIT","VALUE"
"Crop Production","2013","Winter wheat","000 Tonnes","422.1"
"Crop Production","2013","Spring wheat","000 Tonnes","123.3"
"Crop Production","2014","Total wheat, oats and barley","000 Tonnes","2597.8"
"Crop Production","2014","Total wheat","000 Tonnes","717"
"Crop Production","2014","Winter wheat","000 Tonnes","663.4"
"Crop Production","2014","Spring wheat","000 Tonnes","53.6"
"Crop Production","2015","Total wheat, oats and barley","000 Tonnes","2633.6"
"Crop Production","2015","Total wheat","000 Tonnes","696.6"
"Crop Production","2015","Winter wheat","000 Tonnes","610.1"
"Crop Production","2015","Spring wheat","000 Tonnes","86.5"
"Crop Production","2016","Total wheat, oats and barley","000 Tonnes","2310.9"
"Crop Production","2016","Total wheat","000 Tonnes","647.7"
"Crop Production","2016","Winter wheat","000 Tonnes","587.5"
"Crop Production","2016","Spring wheat","000 Tonnes","60.3"
"Crop Production","2017","Total wheat, oats and barley","000 Tonnes","2392.6"
"Crop Production","2017","Total wheat","000 Tonnes","681.7"
"Crop Production","2017","Winter wheat","000 Tonnes","626.6"
"Crop Production","2017","Spring wheat","000 Tonnes","55.2"
"Crop Production","2018","Total wheat, oats and barley","000 Tonnes","1853.9"
"Crop Production","2018","Total wheat","000 Tonnes","506.8"
"Crop Production","2018","Winter wheat","000 Tonnes","484.6"
"Crop Production","2018","Spring wheat","000 Tonnes","22.2"
"Crop Production","2019","Total wheat, oats and barley","000 Tonnes","2396.2"
"Crop Production","2019","Total wheat","000 Tonnes","636"
"Crop Production","2019","Winter wheat","000 Tonnes","604.6"
"Crop Production","2019","Spring wheat","000 Tonnes","31.4"
"Crop Production","2020","Total wheat, oats and barley","000 Tonnes","2013.2"
"Crop Production","2020","Total wheat","000 Tonnes","393"
"Crop Production","2020","Winter wheat","000 Tonnes","307.6"
"Crop Production","2020","Spring wheat","000 Tonnes","85.4"
"Crop Production","2021","Total wheat, oats and barley","000 Tonnes","2457.1"
"Crop Production","2021","Total wheat","000 Tonnes","662.4"
"Crop Production","2021","Winter wheat","000 Tonnes","609.7"
"Crop Production","2021","Spring wheat","000 Tonnes","52.7"
"Crop Production","2022","Total wheat, oats and barley","000 Tonnes","2547"
"Crop Production","2022","Total wheat","000 Tonnes","720"
"Crop Production","2022","Winter wheat","000 Tonnes","665.4"
"Crop Production","2022","Spring wheat","000 Tonnes","54.6"
"Crop Production","2023","Total wheat, oats and barley","000 Tonnes","2015.7"
"Crop Production","2023","Total wheat","000 Tonnes","520.8"
"Crop Production","2023","Winter wheat","000 Tonnes","487"
"Crop Production","2023","Spring wheat","000 Tonnes","33.8"
